Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Date Time
France,Le Robert,106,Unhealthy for Sensitive Groups,8,Good,45,Good,70,Good,52,Unhealthy for Sensitive Groups,2024-08-11 06:00:00
El Salvador,Acajutla,71,Moderate,14,Good,117,Good,96,Good,17,Moderate,2024-10-12 05:00:00
Netherlands,Willemstad,121,Unhealthy for Sensitive Groups,8,Good,82,Good,3,Good,38,Unhealthy for Sensitive Groups,2024-09-19 02:00:00
United States of America,White Settlement,50,Good,9,Good,96,Good,91,Good,2,Good,2024-07-22 10:00:00
United States of America,University Place,44,Good,11,Good,28,Good,86,Good,6,Good,2024-03-04 14:00:00
Netherlands,Haaren,41,Good,10,Good,7,Good,91,Good,3,Good,2024-01-20 09:00:00
Poland,Radzionkow,112,Unhealthy for Sensitive Groups,9,Good,59,Good,55,Good,52,Unhealthy for Sensitive Groups,2024-12-12 17:00:00
Germany,Peine,45,Good,14,Good,64,Good,63,Good,0,Good,2024-01-21 21:00:00
China,Suozhen,156,Unhealthy,9,Good,25,Unhealthy for Sensitive Groups,59,Good,63,Unhealthy,2024-06-19 21:00:00
India,Handia,189,Unhealthy,1,Good,97,Moderate,80,Good,130,Unhealthy,2024-05-02 10:00:00
Romania,Petrila,53,Moderate,6,Good,52,Good,20,Good,34,Moderate,2024-03-21 08:00:00
Netherlands,Breukelen,35,Good,7,Good,109,Good,18,Good,11,Good,2024-02-26 18:00:00
Pakistan,Lalian,173,Unhealthy,0,Good,76,Unhealthy for Sensitive Groups,5,Good,74,Unhealthy,2024-08-25 08:00:00
Italy,Villa Literno,49,Good,4,Good,96,Good,90,Good,4,Good,2024-10-25 10:00:00
Nepal,Baglung,121,Unhealthy for Sensitive Groups,7,Good,102,Good,25,Good,49,Unhealthy for Sensitive Groups,2024-07-01 02:00:00
Germany,Hagen,30,Good,9,Good,8,Good,42,Good,3,Good,2024-06-02 02:00:00
Bulgaria,Kazanlak,56,Moderate,8,Good,42,Good,51,Good,21,Moderate,2024-03-09 01:00:00
Italy,Trezzo,59,Moderate,10,Good,45,Good,35,Good,32,Moderate,2024-11-30 17:00:00
India,Harpalpur,167,Unhealthy,10,Good,66,Unhealthy for Sensitive Groups,47,Good,138,Unhealthy,2024-02-16 18:00:00
United States of America,Little Rock,68,Moderate,11,Good,66,Good,17,Good,28,Moderate,2024-03-30 08:00:00
Italy,Roncade,52,Moderate,7,Good,83,Good,32,Good,33,Moderate,2024-05-12 10:00:00
India,Handia,189,Unhealthy,1,Good,82,Moderate,45,Good,101,Unhealthy,2024-07-15 22:00:00
Brazil,Guapiacu,57,Moderate,8,Good,103,Good,2,Good,34,Moderate,2024-01-18 04:00:00
India,Narnaund,152,Unhealthy,14,Good,74,Unhealthy for Sensitive Groups,78,Good,142,Unhealthy,2024-01-22 17:00:00
Germany,Hameln,37,Good,11,Good,4,Good,54,Good,0,Good,2024-09-22 05:00:00
United Republic of Tanzania,Kilindoni,36,Good,2,Good,43,Good,76,Good,6,Good,2024-12-30 22:00:00
Croatia,Vukovar,69,Moderate,10,Good,72,Good,73,Good,31,Moderate,2024-12-29 04:00:00
Germany,Erlenbach,35,Good,10,Good,43,Good,78,Good,9,Good,2024-09-07 14:00:00
India,Baramula,152,Unhealthy,2,Good,29,Good,99,Good,136,Unhealthy,2024-01-15 22:00:00
Paraguay,Asuncion,26,Good,1,Good,72,Good,14,Good,11,Good,2024-09-13 22:00:00
Japan,Nobeoka,40,Good,11,Good,91,Good,68,Good,3,Good,2024-09-21 15:00:00
Germany,Cadolzburg,64,Moderate,10,Good,109,Moderate,89,Good,35,Moderate,2024-12-24 22:00:00
Philippines,Calatagan,50,Good,12,Good,37,Good,6,Good,3,Good,2024-03-15 08:00:00
India,Shahpura,169,Unhealthy,0,Good,36,Good,47,Good,150,Unhealthy,2024-04-15 02:00:00
United States of America,Takoma Park,47,Good,14,Good,101,Good,12,Good,0,Good,2024-10-16 04:00:00
Mexico,Cuautepec,160,Unhealthy,4,Good,7,Good,96,Good,70,Unhealthy,2024-06-05 23:00:00
United Republic of Tanzania,Maswa,24,Good,13,Good,97,Good,9,Good,8,Good,2024-01-15 17:00:00
France,Coudekerque Branche,44,Good,9,Good,111,Good,85,Good,7,Good,2024-02-24 15:00:00
Belgium,Temse,42,Good,2,Good,8,Good,36,Good,3,Good,2024-12-04 17:00:00
India,Dahanu,76,Moderate,9,Good,0,Good,26,Good,33,Moderate,2024-05-27 15:00:00
Japan,Yoshii,69,Moderate,4,Good,65,Good,96,Good,14,Moderate,2024-04-25 00:00:00
United States of America,Rome,67,Moderate,3,Good,104,Good,46,Good,19,Moderate,2024-05-08 00:00:00
South Africa,Glencoe,139,Unhealthy for Sensitive Groups,13,Good,107,Good,62,Good,54,Unhealthy for Sensitive Groups,2024-08-20 09:00:00
Colombia,Soata,26,Good,1,Good,59,Good,66,Good,0,Good,2024-12-17 08:00:00
Russian Federation,Krasnogvardeyskoye,48,Good,13,Good,68,Good,10,Good,12,Good,2024-01-23 21:00:00
Lesotho,Quthing,77,Moderate,5,Good,57,Good,39,Good,21,Moderate,2024-04-09 23:00:00
Italy,Racconigi,73,Moderate,1,Good,59,Good,77,Good,25,Moderate,2024-02-01 09:00:00
United Kingdom of Great Britain and Northern Ireland,Havant,41,Good,4,Good,85,Good,91,Good,12,Good,2024-12-02 10:00:00
Netherlands,Sint Oedenrode,38,Good,10,Good,107,Good,78,Good,11,Good,2024-12-02 11:00:00
Italy,Porto Empedocle,65,Moderate,0,Good,103,Good,37,Good,18,Moderate,2024-09-23 21:00:00
United Kingdom of Great Britain and Northern Ireland,Cheltenham,47,Good,14,Good,75,Good,10,Good,4,Good,2024-05-05 01:00:00
India,Fatehgarh Churian,248,Very Unhealthy,9,Good,79,Unhealthy,41,Good,183,Very Unhealthy,2024-11-23 14:00:00
Poland,Sulecin,55,Moderate,13,Good,7,Good,93,Good,15,Moderate,2024-10-11 09:00:00
Japan,Yatsuo,43,Good,3,Good,106,Good,84,Good,1,Good,2024-01-03 16:00:00
Germany,Lilienthal,65,Moderate,13,Good,89,Good,93,Good,19,Moderate,2024-04-19 01:00:00
India,Karauli,213,Very Unhealthy,13,Good,102,Good,82,Good,178,Very Unhealthy,2024-06-01 07:00:00
Iran (Islamic Republic of),Zanjan,58,Moderate,7,Good,25,Good,54,Good,19,Moderate,2024-04-08 22:00:00
Germany,Goslar,38,Good,7,Good,49,Good,83,Good,9,Good,2024-02-15 13:00:00
India,Hangal,70,Moderate,3,Good,0,Good,27,Good,34,Moderate,2024-04-04 10:00:00
India,Sardhana,160,Unhealthy,7,Good,52,Unhealthy for Sensitive Groups,61,Good,134,Unhealthy,2024-12-04 05:00:00
Japan,Hitoyoshi,52,Moderate,4,Good,10,Good,89,Good,16,Moderate,2024-12-30 00:00:00
Germany,Bremen,66,Moderate,9,Good,26,Good,74,Good,13,Moderate,2024-02-20 15:00:00
United States of America,Taylors,58,Moderate,4,Good,97,Good,65,Good,23,Moderate,2024-08-30 19:00:00
Russian Federation,Gorkovskiy,38,Good,3,Good,60,Good,75,Good,11,Good,2024-05-10 23:00:00
China,Beibei,166,Unhealthy,4,Good,14,Moderate,98,Good,116,Unhealthy,2024-03-08 19:00:00
Spain,Huesca,37,Good,5,Good,37,Good,56,Good,1,Good,2024-06-11 14:00:00
Ghana,Nsawam,28,Good,3,Good,7,Good,93,Good,6,Good,2024-09-24 02:00:00
Pakistan,Sarhari,165,Unhealthy,7,Good,87,Good,14,Good,73,Unhealthy,2024-08-07 05:00:00
United States of America,Ledyard,41,Good,0,Good,77,Good,9,Good,9,Good,2024-07-21 22:00:00
Germany,Kall,58,Moderate,14,Good,59,Good,17,Good,16,Moderate,2024-12-02 17:00:00
Kazakhstan,Ilyich,161,Unhealthy,12,Good,58,Moderate,73,Good,108,Unhealthy,2024-05-25 03:00:00
India,Phulabani,161,Unhealthy,3,Good,17,Moderate,28,Good,78,Unhealthy,2024-11-09 02:00:00
India,Kodumudi,71,Moderate,7,Good,108,Good,57,Good,20,Moderate,2024-11-05 23:00:00
France,Le Robert,106,Unhealthy for Sensitive Groups,14,Good,78,Good,5,Good,51,Unhealthy for Sensitive Groups,2024-01-20 17:00:00
Russian Federation,Korkino,34,Good,13,Good,45,Good,31,Good,2,Good,2024-12-16 07:00:00
France,Epernay,53,Moderate,4,Good,97,Good,62,Good,30,Moderate,2024-04-28 21:00:00
United States of America,Wayland,47,Good,10,Good,30,Good,36,Good,6,Good,2024-10-02 15:00:00
Chile,Curico,93,Moderate,0,Good,22,Good,84,Good,24,Moderate,2024-05-19 23:00:00
France,Septemes Les Vallons,31,Good,5,Good,78,Good,88,Good,4,Good,2024-10-31 14:00:00
Myanmar,Taunggyi,39,Good,6,Good,83,Good,97,Good,0,Good,2024-12-04 19:00:00
United Republic of Tanzania,Kisesa,24,Good,11,Good,61,Good,37,Good,2,Good,2024-11-22 17:00:00
India,Manohar Thana,168,Unhealthy,6,Good,12,Good,37,Good,133,Unhealthy,2024-05-04 17:00:00
United States of America,Lompoc,38,Good,8,Good,8,Good,89,Good,10,Good,2024-03-02 10:00:00
Russian Federation,Cherdakly,51,Moderate,14,Good,111,Good,94,Good,14,Moderate,2024-01-27 07:00:00
France,Levallois Perret,70,Moderate,1,Good,119,Good,83,Good,35,Moderate,2024-10-06 20:00:00
France,Epernay,53,Moderate,13,Good,18,Good,96,Good,26,Moderate,2024-04-30 21:00:00
Iran (Islamic Republic of),Bandar E Torkaman,153,Unhealthy,1,Good,103,Good,65,Good,98,Unhealthy,2024-07-09 03:00:00
Japan,Inuyama,47,Good,1,Good,31,Good,13,Good,9,Good,2024-10-18 12:00:00
Hungary,Tata,66,Moderate,12,Good,5,Good,13,Good,35,Moderate,2024-04-18 12:00:00
Germany,Wehr,94,Moderate,12,Good,81,Good,87,Good,23,Moderate,2024-12-04 07:00:00
Brazil,Iguaba Grande,61,Moderate,6,Good,58,Good,32,Good,19,Moderate,2024-09-20 05:00:00
Italy,Pavullo Nel Frignano,95,Moderate,0,Good,48,Good,85,Good,13,Moderate,2024-03-17 23:00:00
Belgium,De Pinte,36,Good,3,Good,97,Good,76,Good,1,Good,2024-10-14 00:00:00
Brazil,Caririacu,27,Good,0,Good,90,Good,85,Good,2,Good,2024-10-23 23:00:00
United States of America,Shawnee,95,Moderate,13,Good,5,Good,30,Good,14,Moderate,2024-07-15 17:00:00
India,Neyveli,61,Moderate,14,Good,77,Good,24,Good,15,Moderate,2024-08-04 20:00:00
United States of America,Beeville,36,Good,14,Good,29,Good,30,Good,3,Good,2024-05-29 01:00:00
France,Levallois Perret,70,Moderate,12,Good,62,Good,34,Good,14,Moderate,2024-06-11 09:00:00
United States of America,Rock Springs,22,Good,0,Good,84,Good,60,Good,11,Good,2024-12-15 15:00:00
Poland,Katowice,80,Moderate,11,Good,99,Good,62,Good,28,Moderate,2024-12-28 17:00:00
United States of America,Hopkins,54,Moderate,9,Good,14,Good,91,Good,32,Moderate,2024-08-29 20:00:00
Brazil,Piquete,52,Moderate,11,Good,60,Good,2,Good,14,Moderate,2024-04-29 05:00:00
France,Luneville,38,Good,0,Good,88,Good,59,Good,9,Good,2024-11-23 22:00:00
Poland,Pulawy,30,Good,14,Good,40,Good,16,Good,3,Good,2024-07-02 04:00:00
Madagascar,Arivonimamo,21,Good,5,Good,113,Good,91,Good,4,Good,2024-06-15 03:00:00
Russian Federation,Gusev,34,Good,7,Good,60,Good,46,Good,1,Good,2024-02-18 16:00:00
India,Mundwa,212,Very Unhealthy,3,Good,24,Good,64,Good,189,Very Unhealthy,2024-01-15 20:00:00
United States of America,Orange,51,Moderate,2,Good,77,Good,95,Good,18,Moderate,2024-11-16 11:00:00
Afghanistan,Dawlatabad,92,Moderate,1,Good,59,Good,68,Good,32,Moderate,2024-09-15 12:00:00
United States of America,Rosedale,42,Good,2,Good,25,Good,15,Good,6,Good,2024-09-02 11:00:00
Brazil,Russas,28,Good,12,Good,53,Good,52,Good,9,Good,2024-06-07 12:00:00
Pakistan,Bhopalwala,153,Unhealthy,11,Good,75,Unhealthy for Sensitive Groups,68,Good,143,Unhealthy,2024-12-01 21:00:00
Russian Federation,Izberbash,51,Moderate,6,Good,12,Good,78,Good,17,Moderate,2024-08-11 23:00:00
Poland,Krotoszyn,55,Moderate,13,Good,42,Good,87,Good,30,Moderate,2024-09-14 16:00:00
Venezuela (Bolivarian Republic of),El Tocuyo,39,Good,0,Good,116,Good,64,Good,4,Good,2024-10-29 23:00:00
India,Rudarpur,119,Unhealthy for Sensitive Groups,10,Good,111,Moderate,47,Good,48,Unhealthy for Sensitive Groups,2024-11-06 13:00:00
United States of America,Corsicana,47,Good,7,Good,64,Good,81,Good,2,Good,2024-05-16 01:00:00
France,Ajaccio,44,Good,9,Good,111,Good,74,Good,10,Good,2023-10-02 18:00:00
India,Mangaldai,64,Moderate,12,Good,30,Good,47,Good,21,Moderate,2023-07-28 13:00:00
Brazil,Carazinho,19,Good,2,Good,33,Good,65,Good,3,Good,2023-05-15 08:00:00
Thailand,Chumphon,41,Good,2,Good,90,Good,59,Good,2,Good,2023-11-04 19:00:00
Pakistan,Sarai Naurang,175,Unhealthy,0,Good,9,Moderate,16,Good,60,Unhealthy,2023-12-11 12:00:00
France,Limeil Brevannes,73,Moderate,6,Good,4,Good,34,Good,30,Moderate,2023-08-18 00:00:00
Italy,Porto Empedocle,65,Moderate,6,Good,62,Good,29,Good,29,Moderate,2023-01-07 18:00:00
India,Polur,60,Moderate,8,Good,3,Good,44,Good,32,Moderate,2023-05-27 19:00:00
India,Cumbum,106,Unhealthy for Sensitive Groups,3,Good,27,Good,80,Good,51,Unhealthy for Sensitive Groups,2023-03-25 00:00:00
France,Saint Benoit,57,Moderate,11,Good,97,Good,83,Good,29,Moderate,2023-11-24 15:00:00
Germany,Tostedt,35,Good,6,Good,90,Good,61,Good,4,Good,2023-08-02 12:00:00
France,Saint Sebastien Sur Loire,32,Good,10,Good,29,Good,67,Good,8,Good,2023-06-22 12:00:00
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,6,Good,5,Good,98,Good,14,Moderate,2023-10-11 23:00:00
India,Silvassa,134,Unhealthy for Sensitive Groups,7,Good,103,Good,31,Good,51,Unhealthy for Sensitive Groups,2023-12-28 10:00:00
Italy,Trebaseleghe,78,Moderate,12,Good,19,Good,32,Good,34,Moderate,2023-06-29 23:00:00
Guatemala,San Pedro Sacatepequez,57,Moderate,1,Good,0,Good,56,Good,27,Moderate,2023-05-13 05:00:00
Montenegro,Niksic,79,Moderate,14,Good,21,Good,15,Good,21,Moderate,2023-07-03 10:00:00
Madagascar,Nosy Varika,25,Good,13,Good,4,Good,52,Good,3,Good,2023-08-18 04:00:00
Spain,Martorell,36,Good,3,Good,4,Good,14,Good,10,Good,2023-06-30 18:00:00
India,Tirur,71,Moderate,3,Good,2,Good,42,Good,27,Moderate,2023-05-19 17:00:00
Germany,Rehburg Loccum,43,Good,4,Good,29,Good,47,Good,1,Good,2023-04-28 09:00:00
Brazil,Vitoria Da Conquista,38,Good,4,Good,18,Good,55,Good,1,Good,2023-06-13 19:00:00
United States of America,Fairview Heights,45,Good,2,Good,100,Good,71,Good,9,Good,2023-05-16 11:00:00
India,Sanquelim,84,Moderate,12,Good,4,Good,99,Good,30,Moderate,2023-10-25 05:00:00
Belgium,Soignies,49,Good,13,Good,54,Good,15,Good,8,Good,2023-11-17 23:00:00
Brazil,Sertanopolis,36,Good,3,Good,38,Good,84,Good,4,Good,2023-08-29 10:00:00
Cameroon,Guider,76,Moderate,10,Good,107,Good,15,Good,33,Moderate,2023-08-31 19:00:00
Afghanistan,Geresk,106,Unhealthy for Sensitive Groups,10,Good,113,Good,11,Good,52,Unhealthy for Sensitive Groups,2023-02-08 05:00:00
United States of America,Edison,50,Good,6,Good,21,Good,6,Good,3,Good,2023-05-26 08:00:00
Germany,Bad Langensalza,32,Good,4,Good,24,Good,22,Good,3,Good,2023-06-27 00:00:00
France,Pessac,54,Moderate,4,Good,50,Good,88,Good,19,Moderate,2023-02-26 23:00:00
Philippines,Katipunan,152,Unhealthy,7,Good,116,Good,27,Good,85,Unhealthy,2023-11-23 05:00:00
Slovenia,Celje,85,Moderate,7,Good,15,Good,4,Good,26,Moderate,2023-04-14 17:00:00
China,Shangqiu,132,Unhealthy for Sensitive Groups,2,Good,38,Unhealthy for Sensitive Groups,77,Good,30,Moderate,2023-09-11 13:00:00
South Africa,Fochville,154,Unhealthy,0,Good,28,Good,49,Good,119,Unhealthy,2023-06-28 22:00:00
Belgium,Herzele,51,Moderate,1,Good,56,Good,45,Good,20,Moderate,2023-07-13 02:00:00
United States of America,Beeville,36,Good,10,Good,56,Good,57,Good,2,Good,2023-03-07 20:00:00
Brazil,Varzea Alegre,22,Good,11,Good,71,Good,73,Good,2,Good,2023-06-15 18:00:00
United States of America,Glen Allen,53,Moderate,4,Good,62,Good,22,Good,35,Moderate,2023-02-28 01:00:00
India,Botad,127,Unhealthy for Sensitive Groups,10,Good,67,Good,7,Good,54,Unhealthy for Sensitive Groups,2023-05-28 12:00:00
Greece,Ioannina,69,Moderate,3,Good,10,Good,56,Good,28,Moderate,2023-03-07 02:00:00
El Salvador,Gotera,95,Moderate,5,Good,112,Good,68,Good,30,Moderate,2023-09-18 18:00:00
Ukraine,Chernyakhiv,56,Moderate,11,Good,29,Good,92,Good,33,Moderate,2023-10-23 09:00:00
Spain,San Lorenzo De El Escorial,23,Good,7,Good,82,Good,62,Good,1,Good,2023-02-16 05:00:00
Poland,Szamotuly,51,Moderate,5,Good,47,Good,52,Good,25,Moderate,2023-03-21 04:00:00
Portugal,Lamego,25,Good,4,Good,92,Good,88,Good,0,Good,2023-02-12 05:00:00
Italy,Bracciano,41,Good,12,Good,25,Good,56,Good,10,Good,2023-02-13 00:00:00
United States of America,Woonsocket,42,Good,4,Good,34,Good,29,Good,12,Good,2023-04-09 22:00:00
Panama,Panama,61,Moderate,14,Good,90,Good,20,Good,33,Moderate,2023-08-09 06:00:00
United Republic of Tanzania,Bugarama,45,Good,3,Good,79,Good,84,Good,4,Good,2023-03-08 18:00:00
Thailand,Phon,93,Moderate,13,Good,10,Good,75,Good,32,Moderate,2023-09-13 11:00:00
India,Bhander,166,Unhealthy,1,Good,85,Unhealthy for Sensitive Groups,10,Good,145,Unhealthy,2023-04-19 03:00:00
India,Karimganj,129,Unhealthy for Sensitive Groups,0,Good,119,Good,32,Good,42,Unhealthy for Sensitive Groups,2023-08-31 21:00:00
